DATE,SHIFTS,MC GM-1,MC GM-2,MC GM-3,MC GM-4,MC GM-5,MC GM-6,MC NL-1,MC NL-2,Upcoming.
"13, Thursday, Feb 2025",SHIFT-2,36784,33441,36784,NO JOBS,35778,34394,35718,35718,FALSE
"13, Thursday, Feb 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,NO JOBS,35778,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"14, Friday, Feb 2025",SHIFT-1,36784,33441,SIZE CHANGEOVER,36784,NO PLANNING,34394,35718,35718,FALSE
"14, Friday, Feb 2025",SHIFT-2,36784,33441,35131,36784,NO PLANNING,34394,35718,35718,FALSE
"14, Friday, Feb 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36784,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"15, Saturday, Feb 2025",SHIFT-1,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"15, Saturday, Feb 2025",SHIFT-2,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"15, Saturday, Feb 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"16, Sunday, Feb 2025",SHIFT-1,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"16, Sunday, Feb 2025",SHIFT-2,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"16, Sunday, Feb 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"17, Monday, Feb 2025",SHIFT-1,36784,33441,35131,36784,35778,34394,35718,35644,FALSE
"17, Monday, Feb 2025",SHIFT-2,36784,33441,35131,36784,35778,34394,35718,35644,FALSE
"17, Monday, Feb 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36784,35778,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"18, Tuesday, Feb 2025",SHIFT-1,36784,33441,35131,36784,35778,34394,35718,35644,FALSE
"18, Tuesday, Feb 2025",SHIFT-2,36784,33441,35131,36784,35778,34394,35718,35644,FALSE
"18, Tuesday, Feb 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36784,35778,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"19, Wednesday, Feb 2025",SHIFT-1,36784,33441,35131,36784,35778,34394,35718,35644,FALSE
"19, Wednesday, Feb 2025",SHIFT-2,NO PLANNING,33441,35131,36784,35778,34394,35718,35644,FALSE
"19, Wednesday, Feb 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36784,35778,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"20, Thursday, Feb 2025",SHIFT-1,36784,33441,35131,36784,35778,34394,35718,35644,FALSE
"20, Thursday, Feb 2025",SHIFT-2,36784,33441,35131,36784,35778,SIZE CHANGEOVER,35718,35644,FALSE
"20, Thursday, Feb 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36784,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"21, Friday, Feb 2025",SHIFT-1,36784,33441,35131,36784,35778,SIZE CHANGEOVER,35718,35718,FALSE
"21, Friday, Feb 2025",SHIFT-2,36784,NO PLANNING,NO PLANNING,36784,35778,35780,35718,35718,FALSE
"21, Friday, Feb 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36784,35778,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"22, Saturday, Feb 2025",SHIFT-1,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"22, Saturday, Feb 2025",SHIFT-2,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"22, Saturday, Feb 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"23, Sunday, Feb 2025",SHIFT-1,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"23, Sunday, Feb 2025",SHIFT-2,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"23, Sunday, Feb 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"24, Monday, Feb 2025",SHIFT-1,36784,33441,35131,36794,35778,35780,35718,35718,FALSE
"24, Monday, Feb 2025",SHIFT-2,36784,33441,35131,36794,35778,35780,35718,35718,FALSE
"24, Monday, Feb 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36794,35778,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"25, Tuesday, Feb 2025",SHIFT-1,36784,33901,35131,36794,35778,35780,35718,35718,FALSE
"25, Tuesday, Feb 2025",SHIFT-2,36784,33901,35131,36794,35778,35780,35718,35718,FALSE
"25, Tuesday, Feb 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36794,35778,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"26, Wednesday, Feb 2025",SHIFT-1,35627,33901,35131,35627,35778,35780,35718,35718,FALSE
"26, Wednesday, Feb 2025",SHIFT-2,35627,33901,35131,35627,35778,35780,35718,35718,FALSE
"26, Wednesday, Feb 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,35627,35778,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"27, Thursday, Feb 2025",SHIFT-1,35627,33441,35131,35627,35778,35780,35718,35718,FALSE
"27, Thursday, Feb 2025",SHIFT-2,35627,33441,35131,35627,35778,35780,35718,35718,FALSE
"27, Thursday, Feb 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,35627,35778,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"28, Friday, Feb 2025",SHIFT-1,35627,33441,36029,35627,35778,35780,35718,35718,FALSE
"28, Friday, Feb 2025",SHIFT-2,35627,33441,36029,35627,35778,35780,35718,35718,FALSE
"28, Friday, Feb 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,35627,35778,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"01, Saturday, Mar 2025",SHIFT-1,NO PLANNING,NO PLANNING,36029,NO PLANNING,NO PLANNING,NO PLANNING,36034,NO PLANNING,FALSE
"01, Saturday, Mar 2025",SHIFT-2,NO PLANNING,NO PLANNING,36029,NO PLANNING,NO PLANNING,NO PLANNING,36034,NO PLANNING,FALSE
"01, Saturday, Mar 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"02, Sunday, Mar 2025",SHIFT-1,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"02, Sunday, Mar 2025",SHIFT-2,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"02, Sunday, Mar 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"03, Monday, Mar 2025",SHIFT-1,35627,33441,36029,35680,35778,35858,36034,35718,FALSE
"03, Monday, Mar 2025",SHIFT-2,35627,33441,36029,35680,35778,35858,36034,35718,FALSE
"03, Monday, Mar 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,35680,35778,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"04, Tuesday, Mar 2025",SHIFT-1,35627,33441,36030,35680,36900,35858,36034,35718,FALSE
"04, Tuesday, Mar 2025",SHIFT-2,35627,33441,36030,35680,36900,35858,36034,35718,FALSE
"04, Tuesday, Mar 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,35680,36900,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"05, Wednesday, Mar 2025",SHIFT-1,35627,33441,36030,35680,36900,35858,36034,35718,FALSE
"05, Wednesday, Mar 2025",SHIFT-2,35627,33441,36030,35680,36900,35858,36034,35718,FALSE
"05, Wednesday, Mar 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,35680,36900,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
