DATE,SHIFTS,MC GM-1,MC GM-2,MC GM-3,MC GM-4,MC GM-5,MC GM-6,MC NL-1,MC NL-2,Upcoming.
"04, Friday, Apr 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36784,37106,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"05, Saturday, Apr 2025",SHIFT-1,NO PLANNING,SIZE CHANGEOVER,NO PLANNING,NO PLANNING,NO PLANNING,37049,35680,SIZE CHANGEOVER,FALSE
"05, Saturday, Apr 2025",SHIFT-2,NO PLANNING,SIZE CHANGEOVER,NO PLANNING,NO PLANNING,NO PLANNING,37049,35680,SIZE CHANGEOVER,FALSE
"05, Saturday, Apr 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"06, Sunday, Apr 2025",SHIFT-1,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"06, Sunday, Apr 2025",SHIFT-2,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"06, Sunday, Apr 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"07, Monday, Apr 2025",SHIFT-1,35627,37105,35131,36784,37106,37043,35680,35627,FALSE
"07, Monday, Apr 2025",SHIFT-2,35627,37105,35131,36784,37106,37043,35680,35627,FALSE
"07, Monday, Apr 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36784,37106,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"08, Tuesday, Apr 2025",SHIFT-1,35627,37105,35131,36784,37106,37043,35680,35627,FALSE
"08, Tuesday, Apr 2025",SHIFT-2,35627,37105,35131,36784,37106,37043,35680,35627,FALSE
"08, Tuesday, Apr 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36784,37106,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"09, Wednesday, Apr 2025",SHIFT-1,35627,37105,35131,36784,37106,37043,35680,35627,FALSE
"09, Wednesday, Apr 2025",SHIFT-2,35627,37105,35131,36784,37106,37043,35680,35627,FALSE
"09, Wednesday, Apr 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36784,37106,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"10, Thursday, Apr 2025",SHIFT-1,35627,37105,35131,36784,37106,37043,35680,35627,FALSE
"10, Thursday, Apr 2025",SHIFT-2,35627,37105,35131,36784,37106,37043,35680,35627,FALSE
"10, Thursday, Apr 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36784,37106,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"11, Friday, Apr 2025",SHIFT-1,35627,37105,35131,36784,37106,37043,35680,35627,FALSE
"11, Friday, Apr 2025",SHIFT-2,35627,37105,35131,36784,37106,37043,35680,35627,FALSE
"11, Friday, Apr 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36784,37106,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"12, Saturday, Apr 2025",SHIFT-1,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"12, Saturday, Apr 2025",SHIFT-2,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"12, Saturday, Apr 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"13, Sunday, Apr 2025",SHIFT-1,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"13, Sunday, Apr 2025",SHIFT-2,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"13, Sunday, Apr 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"14, Monday, Apr 2025",SHIFT-1,35627,37105,35131,36784,SIZE CHANGEOVER,37043,35680,35627,FALSE
"14, Monday, Apr 2025",SHIFT-2,35627,37105,35131,36784,SIZE CHANGEOVER,37043,35680,35627,FALSE
"14, Monday, Apr 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36784,SIZE CHANGEOVER,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"15, Tuesday, Apr 2025",SHIFT-1,35627,37105,35131,36794,37091,37049,35680,35627,FALSE
"15, Tuesday, Apr 2025",SHIFT-2,35627,37105,35131,36794,37091,37049,35680,35627,FALSE
"15, Tuesday, Apr 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36794,37091,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"16, Wednesday, Apr 2025",SHIFT-1,35627,37105,35131,36794,SIZE CHANGEOVER,37049,36900,35627,FALSE
"16, Wednesday, Apr 2025",SHIFT-2,35627,37105,35131,36794,SIZE CHANGEOVER,37049,36900,35627,FALSE
"16, Wednesday, Apr 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36794,SIZE CHANGEOVER,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"17, Thursday, Apr 2025",SHIFT-1,35627,37105,35131,35718,35775,37049,36900,35627,FALSE
"17, Thursday, Apr 2025",SHIFT-2,35627,37105,35131,35718,35775,37049,36900,35627,FALSE
"17, Thursday, Apr 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,35718,35775,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"18, Friday, Apr 2025",SHIFT-1,35627,37105,35131,35718,35775,37049,36900,35627,FALSE
"18, Friday, Apr 2025",SHIFT-2,35627,37105,35131,35718,35775,37049,36900,35627,FALSE
"18, Friday, Apr 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,35718,35775,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"19, Saturday, Apr 2025",SHIFT-1,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"19, Saturday, Apr 2025",SHIFT-2,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"19, Saturday, Apr 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"20, Sunday, Apr 2025",SHIFT-1,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"20, Sunday, Apr 2025",SHIFT-2,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"20, Sunday, Apr 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"21, Monday, Apr 2025",SHIFT-1,NO PLANNING,37105,NO PLANNING,35718,NO PLANNING,37049,36900,NO PLANNING,FALSE
"21, Monday, Apr 2025",SHIFT-2,NO PLANNING,37105,NO PLANNING,35718,NO PLANNING,37049,36900,NO PLANNING,FALSE
"21, Monday, Apr 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,35718,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"22, Tuesday, Apr 2025",SHIFT-1,35627,37105,35131,35718,35775,37049,36900,35627,FALSE
"22, Tuesday, Apr 2025",SHIFT-2,35627,37105,35131,35718,35775,37049,36900,35627,FALSE
"22, Tuesday, Apr 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,35718,35775,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"23, Wednesday, Apr 2025",SHIFT-1,35627,37105,35131,35718,35775,34394,36900,35627,FALSE
"23, Wednesday, Apr 2025",SHIFT-2,35627,37105,35131,35718,35775,34394,36900,35627,FALSE
"23, Wednesday, Apr 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,35718,35775,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"24, Thursday, Apr 2025",SHIFT-1,35627,37105,35131,36784,35775,34394,36900,35627,FALSE
"24, Thursday, Apr 2025",SHIFT-2,35627,37105,35131,36784,35775,34394,36900,35627,FALSE
"24, Thursday, Apr 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36784,35775,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"25, Friday, Apr 2025",SHIFT-1,35627,37105,35131,36784,37152,34394,36900,35627,FALSE
"25, Friday, Apr 2025",SHIFT-2,35627,37105,35131,36784,37152,34394,36900,35627,FALSE
"25, Friday, Apr 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36784,37152,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"26, Saturday, Apr 2025",SHIFT-1,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"26, Saturday, Apr 2025",SHIFT-2,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"26, Saturday, Apr 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"27, Sunday, Apr 2025",SHIFT-1,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"27, Sunday, Apr 2025",SHIFT-2,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"27, Sunday, Apr 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"28, Monday, Apr 2025",SHIFT-1,35627,37105,35131,36784,37152,34394,36900,36860,FALSE
"28, Monday, Apr 2025",SHIFT-2,35627,37105,35131,36784,37152,34394,36900,36860,FALSE
"28, Monday, Apr 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36784,37152,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"29, Tuesday, Apr 2025",SHIFT-1,35627,37105,35131,36784,37152,34394,36900,36860,FALSE
"29, Tuesday, Apr 2025",SHIFT-2,35627,37105,35131,36784,37152,34394,36900,36860,FALSE
"29, Tuesday, Apr 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36784,37152,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"30, Wednesday, Apr 2025",SHIFT-1,35627,37105,35131,35627,37152,34394,36900,35718,FALSE
"30, Wednesday, Apr 2025",SHIFT-2,35627,37105,35131,35627,37152,34394,36900,35718,FALSE
"30, Wednesday, Apr 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,35627,37152,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"01, Thursday, May 2025",SHIFT-1,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,PUBLIC OFF,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"01, Thursday, May 2025",SHIFT-2,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,PUBLIC OFF,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"01, Thursday, May 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,PUBLIC OFF,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"02, Friday, May 2025",SHIFT-1,35627,SIZE CHANGEOVER,35131,35627,35778,34394,36900,35718,FALSE
"02, Friday, May 2025",SHIFT-2,35627,SIZE CHANGEOVER,35131,35627,35778,34394,36900,35718,FALSE
"02, Friday, May 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,35627,35778,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"03, Saturday, May 2025",SHIFT-1,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"03, Saturday, May 2025",SHIFT-2,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"03, Saturday, May 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"04, Sunday, May 2025",SHIFT-1,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"04, Sunday, May 2025",SHIFT-2,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"04, Sunday, May 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"05, Monday, May 2025",SHIFT-1,35627,37106,35131,35627,35778,34394,36900,35718,FALSE
"05, Monday, May 2025",SHIFT-2,35627,37106,35131,35627,35778,34394,36900,35718,FALSE
"05, Monday, May 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,35627,35778,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"06, Tuesday, May 2025",SHIFT-1,35627,37106,35131,35627,35778,34394,36900,35718,FALSE
"06, Tuesday, May 2025",SHIFT-2,35627,37106,35131,35627,35778,34394,36900,35718,FALSE
"06, Tuesday, May 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,35627,35778,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"07, Wednesday, May 2025",SHIFT-1,35627,37106,35131,36784,35778,34394,36900,35718,FALSE
"07, Wednesday, May 2025",SHIFT-2,35627,37106,35131,36784,35778,34394,36900,35718,FALSE
"07, Wednesday, May 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36784,35778,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"08, Thursday, May 2025",SHIFT-1,NO PLANNING,37106,NO PLANNING,36784,NO PLANNING,34394,NO PLANNING,NO PLANNING,FALSE
"08, Thursday, May 2025",SHIFT-2,NO PLANNING,37106,NO PLANNING,36784,NO PLANNING,34394,NO PLANNING,NO PLANNING,FALSE
"08, Thursday, May 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36784,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"09, Friday, May 2025",SHIFT-1,35627,36033,35131,36784,35778,34394,36900,35718,FALSE
"09, Friday, May 2025",SHIFT-2,35627,36033,35131,36784,35778,34394,36900,35718,FALSE
"09, Friday, May 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36784,35778,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"10, Saturday, May 2025",SHIFT-1,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"10, Saturday, May 2025",SHIFT-2,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"10, Saturday, May 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"11, Sunday, May 2025",SHIFT-1,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"11, Sunday, May 2025",SHIFT-2,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"11, Sunday, May 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"12, Monday, May 2025",SHIFT-1,35627,36030,35131,36784,35778,35781,35627,35718,FALSE
"12, Monday, May 2025",SHIFT-2,35627,36030,35131,36784,35778,35781,35627,35718,FALSE
"12, Monday, May 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36784,35778,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"13, Tuesday, May 2025",SHIFT-1,35627,36030,35131,36784,35778,35781,35627,NO JOBS,FALSE
"13, Tuesday, May 2025",SHIFT-2,35627,36030,35131,36784,35778,35781,35627,NO JOBS,FALSE
"13, Tuesday, May 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36784,35778,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"14, Wednesday, May 2025",SHIFT-1,35627,36030,35131,36784,35778,35781,35627,NO JOBS,FALSE
"14, Wednesday, May 2025",SHIFT-2,35627,36030,35131,36784,35778,35781,35627,NO JOBS,FALSE
"14, Wednesday, May 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36784,35778,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"15, Thursday, May 2025",SHIFT-1,35627,36029,35131,36784,36896,35781,35627,NO JOBS,FALSE
"15, Thursday, May 2025",SHIFT-2,35627,36029,35131,36784,36896,35781,35627,NO JOBS,FALSE
"15, Thursday, May 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36784,36896,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"16, Friday, May 2025",SHIFT-1,35627,36029,35131,36784,36896,35781,35627,NO JOBS,FALSE
"16, Friday, May 2025",SHIFT-2,35627,36029,35131,36784,36896,35781,35627,NO JOBS,FALSE
"16, Friday, May 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36784,36896,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"17, Saturday, May 2025",SHIFT-1,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"17, Saturday, May 2025",SHIFT-2,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"17, Saturday, May 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"18, Sunday, May 2025",SHIFT-1,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"18, Sunday, May 2025",SHIFT-2,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"18, Sunday, May 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"19, Monday, May 2025",SHIFT-1,35627,36029,35131,36784,36896,35781,35627,NO JOBS,FALSE
"19, Monday, May 2025",SHIFT-2,35627,36029,35131,36784,36896,35781,35627,NO JOBS,FALSE
"19, Monday, May 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36784,36896,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"20, Tuesday, May 2025",SHIFT-1,35627,36029,35131,36784,36896,35227,35627,NO JOBS,FALSE
"20, Tuesday, May 2025",SHIFT-2,35627,36029,35131,36784,36896,35227,35627,NO JOBS,FALSE
"20, Tuesday, May 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36784,36896,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"21, Wednesday, May 2025",SHIFT-1,35627,36029,35131,36784,36896,35227,35627,NO JOBS,FALSE
"21, Wednesday, May 2025",SHIFT-2,35627,36029,35131,36784,36896,35227,35627,NO JOBS,FALSE
"21, Wednesday, May 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36784,36896,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"22, Thursday, May 2025",SHIFT-1,35627,37106,35131,36749,36896,35227,35627,NO JOBS,FALSE
"22, Thursday, May 2025",SHIFT-2,35627,37106,35131,36749,36896,35227,35627,NO JOBS,FALSE
"22, Thursday, May 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36749,36896,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"23, Friday, May 2025",SHIFT-1,35627,37106,35131,36749,36896,35780,35627,NO JOBS,FALSE
"23, Friday, May 2025",SHIFT-2,35627,37106,35131,36749,36896,35780,35627,NO JOBS,FALSE
"23, Friday, May 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36749,36896,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"24, Saturday, May 2025",SHIFT-1,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"24, Saturday, May 2025",SHIFT-2,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"24, Saturday, May 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"25, Sunday, May 2025",SHIFT-1,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"25, Sunday, May 2025",SHIFT-2,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"25, Sunday, May 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"26, Monday, May 2025",SHIFT-1,35627,37106,35131,36749,36896,35780,35627,NO JOBS,FALSE
"26, Monday, May 2025",SHIFT-2,35627,37106,35131,36749,36896,35780,35627,NO JOBS,FALSE
"26, Monday, May 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36749,36896,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"27, Tuesday, May 2025",SHIFT-1,35627,33441,35131,37285,36896,35780,35627,35627,FALSE
"27, Tuesday, May 2025",SHIFT-2,35627,33441,35131,37285,36896,35780,35627,35627,FALSE
"27, Tuesday, May 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,37285,36896,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"28, Wednesday, May 2025",SHIFT-1,35627,33441,35131,37285,36896,35780,35627,35627,FALSE
"28, Wednesday, May 2025",SHIFT-2,35627,33441,35131,37285,36896,35780,35627,35627,FALSE
"28, Wednesday, May 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,37285,36896,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"29, Thursday, May 2025",SHIFT-1,NO PLANNING,33441,35131,37285,37261,NO PLANNING,NO PLANNING,35627,FALSE
"29, Thursday, May 2025",SHIFT-2,NO PLANNING,33441,35131,37285,37261,NO PLANNING,NO PLANNING,35627,FALSE
"29, Thursday, May 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,37285,37261,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"30, Friday, May 2025",SHIFT-1,33901,33441,35131,37285,37261,35780,35627,35627,FALSE
"30, Friday, May 2025",SHIFT-2,33901,33441,35131,37285,37261,35780,35627,35627,FALSE
"30, Friday, May 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,37285,37261,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"31, Saturday, May 2025",SHIFT-1,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"31, Saturday, May 2025",SHIFT-2,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"31, Saturday, May 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"01, Sunday, Jun 2025",SHIFT-1,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"01, Sunday, Jun 2025",SHIFT-2,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"01, Sunday, Jun 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"02, Monday, Jun 2025",SHIFT-1,33901,33441,35131,37285,37261,35780,35627,35627,FALSE
"02, Monday, Jun 2025",SHIFT-2,33901,33441,35131,37285,37261,35780,35627,35627,FALSE
"02, Monday, Jun 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,37285,37261,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"03, Tuesday, Jun 2025",SHIFT-1,33901,33441,35131,35627,37261,37049,35627,35627,FALSE
"03, Tuesday, Jun 2025",SHIFT-2,33901,33441,35131,35627,37261,37049,35627,35627,FALSE
"03, Tuesday, Jun 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,35627,37261,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"04, Wednesday, Jun 2025",SHIFT-1,33901,33441,35131,35627,37261,37049,35627,35627,FALSE
"04, Wednesday, Jun 2025",SHIFT-2,33901,33441,35131,35627,37261,37049,35627,35627,FALSE
"04, Wednesday, Jun 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,35627,37261,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"05, Thursday, Jun 2025",SHIFT-1,33901,33441,35131,35627,37261,37049,35627,35718,FALSE
"05, Thursday, Jun 2025",SHIFT-2,33901,33441,35131,35627,37261,37049,35627,35718,FALSE
"05, Thursday, Jun 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,35627,37261,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"06, Friday, Jun 2025",SHIFT-1,33901,33441,35131,35627,37230,37049,35627,35718,FALSE
"06, Friday, Jun 2025",SHIFT-2,33901,33441,35131,35627,37230,37049,35627,35718,FALSE
"06, Friday, Jun 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,35627,37230,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"07, Saturday, Jun 2025",SHIFT-1,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"07, Saturday, Jun 2025",SHIFT-2,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"07, Saturday, Jun 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
